27,0,132
27,1,134
27,1,136
27,2,138
27,2,140
27,3,141
27,4,143
27,5,145
27,5,147
27,6,148
27,7,150
27,8,152
27,9,154
27,10,155
27,11,157
27,12,159
27,13,161
27,14,162
27,15,164
27,16,166
27,16,167
27,17,169
27,18,171
27,19,172
28,20,174
28,21,175
28,22,177
28,23,179
28,24,180
28,25,182
28,26,183
28,27,185
28,28,186
28,29,188
28,30,189
28,31,190
28,32,192
29,33,193
29,34,194
29,35,196
29,36,197
29,38,198
29,39,200
30,40,201
30,41,202
30,42,203
30,43,204
31,44,205
31,45,206
31,46,207
32,48,208
32,49,209
32,50,210
33,51,211
33,52,211
33,54,212
34,55,213
34,56,213
35,58,214
35,59,214
35,60,214
36,62,215
36,63,215
37,65,215
37,66,215
38,67,214
38,69,214
39,71,214
39,72,213
40,74,212
40,76,211
40,77,210
41,79,208
41,81,206
41,83,204
41,85,201
41,87,198
42,90,195
42,91,192
42,93,189
43,95,186
43,97,183
44,99,180
45,100,177
45,102,174
46,104,171
47,105,169
48,107,166
48,108,163
49,110,160
50,111,157
51,113,155
52,114,152
52,115,149
53,117,147
54,118,144
54,119,141
55,121,138
56,122,136
57,123,133
57,125,131
58,126,128
59,127,125
59,128,123
60,130,120
60,131,117
61,132,115
62,133,112
62,134,109
63,135,107
63,137,104
64,138,102
64,139,99
65,140,96
65,141,94
66,142,91
66,143,89
67,145,86
68,146,84
68,147,82
69,148,80
70,149,78
71,150,76
72,151,74
72,152,72
73,153,70
74,154,68
75,155,66
77,156,64
78,157,62
79,158,61
80,159,59
81,160,58
82,160,56
84,161,54
85,162,53
87,163,51
88,164,50
89,165,48
91,166,47
92,167,46
94,168,44
96,168,43
97,169,42
99,170,40
100,171,39
102,172,38
104,173,37
106,173,35
107,174,34
109,175,33
111,176,32
113,177,31
115,177,30
117,178,29
118,179,28
120,180,27
122,180,27
124,181,26
126,182,25
128,183,25
130,183,24
132,184,23
134,185,23
136,186,23
139,186,22
141,187,22
143,188,22
145,188,22
147,189,22
149,190,22
151,190,22
154,191,23
156,192,23
158,192,23
160,193,24
162,194,24
164,194,25
166,195,25
169,196,26
171,196,26
173,197,27
175,198,28
177,198,29
179,199,29
181,200,30
183,200,31
185,201,32
187,202,33
189,202,33
191,203,34
192,204,35
194,204,36
196,205,37
198,206,38
200,206,40
202,207,41
203,208,42
205,208,43
207,209,44
209,210,46
210,210,47
212,211,48
214,212,50
215,213,51
217,213,53
218,214,54
220,215,56
222,216,57
223,216,59
224,217,61
226,218,63
227,219,64
229,220,66
230,220,68
231,221,70
232,222,72
233,223,74
234,224,77
235,225,79
236,226,82
237,227,84
238,228,87
238,229,90
239,230,93
239,231,96
239,232,99
240,233,103
240,234,106
240,235,110
241,236,114
241,237,118
242,238,122
242,239,126
243,240,131
243,241,135
244,242,140
245,243,145
245,244,150
246,244,155
247,245,160
247,246,165
248,247,171
249,247,176
249,248,182
250,249,188
250,250,194
251,250,200
252,251,207
252,252,213
253,252,220
253,253,226
254,253,233
254,254,240
255,254,248
255,255,255
